ix	type	id	bnf_code	nm	form_route
83	amp	2903711000001100	1304000X0BHABCB	Fucidin H cream (LEO Pharma)	cream.cutaneous
84	amp	4928211000001101	1304000X0BMAAAA	Hc45 Hydrocortisone 1% cream (Reckitt Benckiser Healthcare (UK) Ltd)	cream.cutaneous
85	amp	20551811000001104	1304000X0BNAAAA	Boots Bite and Sting Relief Hydrocortisone 1% cream (The Boots Company Plc)	cream.cutaneous
86	amp	375111000001101	0107020J0BBAAAA	Anugesic HC cream (Pfizer Ltd)	cream.rectal
87	amp	4019211000001107	1304000W0BBAGBD	Locoid Crelo 0.1% topical emulsion (LEO Pharma)	emulsion.cutaneous
88	amp	4019211000001107	1304000W0BBAGBD	Locoid Crelo 0.1% topical emulsion (LEO Pharma)	emulsion.scalp
89	amp	507711000001101	120101050BCAAAB	Otomize ear spray (Teva UK Ltd)	emulsionspray.auricular
90	amp	3057311000001100	0107020J0BDAAAD	Proctofoam HC foam enema (Meda Pharmaceuticals Ltd)	foam.cutaneous
91	amp	11550911000001107	0105020A0BCABAD	Budenofalk 2mg foam enema (Dr. Falk Pharma UK Ltd)	foamenema.rectal
92	amp	3050211000001109	0105020B0BBAAAA	Colifoam 10% aerosol (Mylan)	foamenema.rectal
93	amp	19208211000001105	0105020D0AAACAC	Prednisolone 20mg/application foam enema (Essential Generics Ltd)	foamenema.rectal
94	amp	19565211000001106	0105020D0AAACAC	Prednisolone 20mg/application foam enema (Alliance Healthcare (Distribution) Ltd)	foamenema.rectal
95	amp	20011611000001109	0105020D0AAACAC	Prednisolone 20mg/application foam enema (A A H Pharmaceuticals Ltd)	foamenema.rectal
96	amp	37778111000001105	0105020D0AAACAC	Prednisolone 20mg/application foam enema (DE Pharmaceuticals)	foamenema.rectal
97	amp	363511000001104	0105020D0BCAAAC	Predfoam 20mg/application enema (Chemidex Pharma Ltd)	foamenema.rectal
98	amp	3057311000001100	0107020J0BDAAAD	Proctofoam HC foam enema (Meda Pharmaceuticals Ltd)	foamenema.rectal
99	amp	35699311000001104	0603020J0BFAACX	Alkindi 0.5mg granules in capsules for opening (Diurnal Ltd)	granules.oral
100	amp	35700011000001101	0603020J0BFABCY	Alkindi 1mg granules in capsules for opening (Diurnal Ltd)	granules.oral
101	amp	35700311000001103	0603020J0BFACCZ	Alkindi 2mg granules in capsules for opening (Diurnal Ltd)	granules.oral
102	amp	35697611000001104	0603020J0BFADDA	Alkindi 5mg granules in capsules for opening (Diurnal Ltd)	granules.oral
103	amp	19738311000001103	0105020A0BCACAE	Budenofalk 9mg gastro-resistant granules sachets (Dr. Falk Pharma UK Ltd)	granulesgastro-resistant.oral
104	amp	18043111000001105	1304000V0AABRBR	Hydrocortisone 1% lotion (Special Order)	liquid.cutaneous
105	amp	29875111000001108	1104010F0AAAAAA	Clobetasone 0.1% eye drops (Special Order)	liquiddrops.ophthalmic
106	amp	9400311000001101	1104010I0AAARAR	Dexamethasone 1% eye drops preservative free (Special Order)	liquiddrops.ophthalmic
107	amp	9400611000001106	1104010I0AAAUAU	Dexamethasone 0.1% eye drops preservative free (Special Order)	liquiddrops.ophthalmic
108	amp	35514311000001107	1104010I0BIAAAU	Eythalm 1mg/ml eye drops (Aspire Pharma Ltd)	liquiddrops.ophthalmic
109	amp	9399411000001105	1104010S0AAAAAA	Prednisolone sodium phosphate 0.01% eye drops (Special Order)	liquiddrops.ophthalmic
110	amp	9394011000001102	1104010S0AAAEAE	Prednisolone sodium phosphate 0.125% eye drops (Special Order)	liquiddrops.ophthalmic
111	amp	9392511000001100	1104010S0AAAFAF	Prednisolone sodium phosphate 0.25% eye drops (Special Order)	liquiddrops.ophthalmic
112	amp	16024411000001106	1104010S0AAALAL	Prednisolone sodium phosphate 0.003% eye drops (Special Order)	liquiddrops.ophthalmic
113	amp	9389611000001107	1104010S0AAARAR	Prednisolone sodium phosphate 0.5% eye drops preservative free (Special Order)	liquiddrops.ophthalmic
114	amp	9393411000001108	1104010S0AAAXAX	Prednisolone sodium phosphate 0.125% eye drops preservative free (Special Order)	liquiddrops.ophthalmic
115	amp	9386811000001100	1104010S0AAAZAZ	Prednisolone sodium phosphate 0.01% eye drops preservative free (Special Order)	liquiddrops.ophthalmic
116	amp	9399711000001104	1104010S0AABCBC	Prednisolone sodium phosphate 0.005% eye drops (Special Order)	liquiddrops.ophthalmic
117	amp	9398211000001101	1104010S0AABKBK	Prednisolone sodium phosphate 0.03% eye drops (Drug Tariff Special Order)	liquiddrops.ophthalmic
118	amp	9395211000001108	1104010S0AABLBL	Prednisolone sodium phosphate 0.1% eye drops (Drug Tariff Special Order)	liquiddrops.ophthalmic
119	amp	9391311000001102	1104010S0AABMBM	Prednisolone sodium phosphate 0.3% eye drops (Drug Tariff Special Order)	liquiddrops.ophthalmic
120	amp	9396711000001109	1104010S0AABNBN	Prednisolone sodium phosphate 0.05% eye drops (Drug Tariff Special Order)	liquiddrops.ophthalmic
121	amp	9396211000001102	1104010S0AABPBP	Prednisolone sodium phosphate 0.05% eye drops preservative free (Drug Tariff Special Order)	liquiddrops.ophthalmic
122	amp	9388911000001109	1104010S0AABQBQ	Prednisolone sodium phosphate 1% eye drops preservative free (Drug Tariff Special Order)	liquiddrops.ophthalmic
123	amp	9397611000001103	1104010S0AABRBR	Prednisolone sodium phosphate 0.03% eye drops preservative free (Drug Tariff Special Order)	liquiddrops.ophthalmic
124	amp	9394811000001108	1104010S0AABSBS	Prednisolone sodium phosphate 0.1% eye drops preservative free (Drug Tariff Special Order)	liquiddrops.ophthalmic
125	amp	9390811000001103	1104010S0AABTBT	Prednisolone sodium phosphate 0.3% eye drops preservative free (Drug Tariff Special Order)	liquiddrops.ophthalmic
126	amp	20984011000001105	0304010D0BBAEAE	Clarityn Rapide Allergy 10mg tablets (Bayer Plc)	lyophilisate.oral
127	amp	11073111000001102	0304020ABBBAAAA	Grazax 75,000 SQ-T oral lyophilisates (ALK-Abello Ltd)	lyophilisate.sublingual
128	amp	794811000001104	120101050BBAAAA	Sofradex ear/eye ointment (Florizel Ltd)	ointment.auricular
129	amp	3991711000001109	1201010G0BBABAB	Neo-Cortef ear/eye ointment (PLIVA Pharma Ltd)	ointment.auricular
130	amp	358611000001101	1201010Z0BDAAAC	Tri-Adcortyl Otic ointment (Bristol-Myers Squibb Pharmaceuticals Ltd)	ointment.auricular
131	amp	4669611000001104	0107020B0BBAAAA	Betnovate rectal ointment (GlaxoSmithKline UK Ltd)	ointment.cutaneous
132	amp	921611000001102	0107020F0BBAAAA	Ultraproct ointment (Meadow Laboratories Ltd)	ointment.cutaneous
133	amp	429711000001108	0107020J0BCABAC	Anusol HC ointment (Church & Dwight UK Ltd)	ointment.cutaneous
134	amp	289611000001105	0107020J0BCACAC	Anusol Plus HC ointment (Church & Dwight UK Ltd)	ointment.cutaneous
135	amp	24642411000001103	0107020J0BCAFAC	Anusol Soothing Relief ointment (Church & Dwight UK Ltd)	ointment.cutaneous
136	amp	539211000001105	0107020J0BEAAAE	Proctosedyl ointment (Sanofi)	ointment.cutaneous
137	amp	754811000001109	0107020J0BFACAE	Uniroid HC ointment (Chemidex Pharma Ltd)	ointment.cutaneous
138	amp	929011000001108	0107020J0BGAAAG	Xyloproct 5%/0.275% ointment (Aspen Pharma Trading Ltd)	ointment.cutaneous
139	amp	226611000001108	0107020P0BCAAAC	Scheriproct ointment (LEO Pharma)	ointment.cutaneous
140	amp	19522311000001100	0603020ACBBAAAA	Advantan 0.1% ointment (Imported (Germany))	ointment.cutaneous
141	amp	2927511000001108	1304000V0AABBBB	Hydrocortisone 0.5% ointment (A A H Pharmaceuticals Ltd)	ointment.cutaneous
142	amp	3302011000001109	1304000V0AABBBB	Hydrocortisone 0.5% ointment (Kent Pharmaceuticals Ltd)	ointment.cutaneous
143	amp	3304711000001101	1304000V0AABBBB	Hydrocortisone 0.5% ointment (Actavis UK Ltd)	ointment.cutaneous
144	amp	3305911000001100	1304000V0AABBBB	Hydrocortisone 0.5% ointment (Alliance Healthcare (Distribution) Ltd)	ointment.cutaneous
145	amp	3306711000001105	1304000V0AABBBB	Hydrocortisone 0.5% ointment (The Boots Company Plc)	ointment.cutaneous
146	amp	4193811000001103	1304000V0AABBBB	Hydrocortisone 0.5% ointment (Teva UK Ltd)	ointment.cutaneous
147	amp	14944211000001108	1304000V0AABBBB	Hydrocortisone 0.5% ointment (Essential Generics Ltd)	ointment.cutaneous
148	amp	17923211000001102	1304000V0AABBBB	Hydrocortisone 0.5% ointment (Phoenix Healthcare Distribution Ltd)	ointment.cutaneous
149	amp	22043511000001107	1304000V0AABBBB	Hydrocortisone 0.5% ointment (Waymade Healthcare Plc)	ointment.cutaneous
150	amp	24152011000001108	1304000V0AABBBB	Hydrocortisone 0.5% ointment (DE Pharmaceuticals)	ointment.cutaneous
151	amp	29871811000001104	1304000V0AABBBB	Hydrocortisone 0.5% ointment (Sigma Pharmaceuticals Plc)	ointment.cutaneous
152	amp	30210011000001101	1304000V0AABBBB	Hydrocortisone 0.5% ointment (Mawdsley-Brooks & Company Ltd)	ointment.cutaneous
153	amp	2930011000001103	1304000V0AABCBC	Hydrocortisone 1% ointment (A A H Pharmaceuticals Ltd)	ointment.cutaneous
154	amp	3301911000001102	1304000V0AABCBC	Hydrocortisone 1% ointment (Kent Pharmaceuticals Ltd)	ointment.cutaneous
155	amp	3302311000001107	1304000V0AABCBC	Hydrocortisone 1% ointment (Alliance Healthcare (Distribution) Ltd)	ointment.cutaneous
156	amp	3305811000001105	1304000V0AABCBC	Hydrocortisone 1% ointment (Actavis UK Ltd)	ointment.cutaneous
157	amp	4194011000001106	1304000V0AABCBC	Hydrocortisone 1% ointment (Teva UK Ltd)	ointment.cutaneous
158	amp	9746411000001106	1304000V0AABCBC	Hydrocortisone 1% ointment (The Boots Company Plc)	ointment.cutaneous
159	amp	14944511000001106	1304000V0AABCBC	Hydrocortisone 1% ointment (Essential Generics Ltd)	ointment.cutaneous
160	amp	16373311000001101	1304000V0AABCBC	Hydrocortisone 1% ointment (Pinewood Healthcare)	ointment.cutaneous
161	amp	17200711000001109	1304000V0AABCBC	Hydrocortisone 1% ointment (Sovereign Medical Ltd)	ointment.cutaneous
162	amp	17923411000001103	1304000V0AABCBC	Hydrocortisone 1% ointment (Phoenix Healthcare Distribution Ltd)	ointment.cutaneous
163	amp	18282911000001100	1304000V0AABCBC	Hydrocortisone 1% ointment (Strides Pharma UK Ltd)	ointment.cutaneous
164	amp	22043711000001102	1304000V0AABCBC	Hydrocortisone 1% ointment (Waymade Healthcare Plc)	ointment.cutaneous
165	amp	24152211000001103	1304000V0AABCBC	Hydrocortisone 1% ointment (DE Pharmaceuticals)	ointment.cutaneous
166	amp	29873511000001103	1304000V0AABCBC	Hydrocortisone 1% ointment (Sigma Pharmaceuticals Plc)	ointment.cutaneous
167	amp	30210611000001108	1304000V0AABCBC	Hydrocortisone 1% ointment (Mawdsley-Brooks & Company Ltd)	ointment.cutaneous
168	amp	2932211000001109	1304000V0AABDBD	Hydrocortisone 2.5% ointment (A A H Pharmaceuticals Ltd)	ointment.cutaneous
169	amp	3303511000001108	1304000V0AABDBD	Hydrocortisone 2.5% ointment (Kent Pharmaceuticals Ltd)	ointment.cutaneous
170	amp	3306011000001108	1304000V0AABDBD	Hydrocortisone 2.5% ointment (Alliance Healthcare (Distribution) Ltd)	ointment.cutaneous
171	amp	4194411000001102	1304000V0AABDBD	Hydrocortisone 2.5% ointment (Teva UK Ltd)	ointment.cutaneous
172	amp	14944911000001104	1304000V0AABDBD	Hydrocortisone 2.5% ointment (Essential Generics Ltd)	ointment.cutaneous
173	amp	17923811000001101	1304000V0AABDBD	Hydrocortisone 2.5% ointment (Phoenix Healthcare Distribution Ltd)	ointment.cutaneous
174	amp	22043911000001100	1304000V0AABDBD	Hydrocortisone 2.5% ointment (Waymade Healthcare Plc)	ointment.cutaneous
175	amp	24153311000001101	1304000V0AABDBD	Hydrocortisone 2.5% ointment (DE Pharmaceuticals)	ointment.cutaneous
176	amp	29874011000001108	1304000V0AABDBD	Hydrocortisone 2.5% ointment (Sigma Pharmaceuticals Plc)	ointment.cutaneous
177	amp	30210911000001102	1304000V0AABDBD	Hydrocortisone 2.5% ointment (Mawdsley-Brooks & Company Ltd)	ointment.cutaneous
178	amp	33338311000001103	1304000V0AACNCN	Nystatin 100,000units/g / Chlorhexidine acetate 1% / Hydrocortisone 1% ointment (Typharm Ltd)	ointment.cutaneous
179	amp	34838211000001107	1304000V0AACNCN	Nystatin 100,000units/g / Chlorhexidine acetate 1% / Hydrocortisone 1% ointment (Alliance Healthcare (Distribution) Ltd)	ointment.cutaneous
180	amp	34895411000001108	1304000V0AACNCN	Nystatin 100,000units/g / Chlorhexidine acetate 1% / Hydrocortisone 1% ointment (A A H Pharmaceuticals Ltd)	ointment.cutaneous
181	amp	2928411000001108	1304000V0BDAEBB	Efcortelan 0.5% ointment (Chemidex Pharma Ltd)	ointment.cutaneous
182	amp	2931211000001102	1304000V0BDAFBC	Efcortelan 1% ointment (Chemidex Pharma Ltd)	ointment.cutaneous
183	amp	2932511000001107	1304000V0BDAGBD	Efcortelan 2.5% ointment (Chemidex Pharma Ltd)	ointment.cutaneous
184	amp	875811000001105	1304000V0BZACCL	Vioform-Hydrocortisone ointment (Novartis Consumer Health UK Ltd)	ointment.cutaneous
185	amp	3143811000001107	1304000V0CCACCM	Terra-Cortril ointment (Pfizer Ltd)	ointment.cutaneous
186	amp	21116111000001108	1304000V0CCAFCM	Terra-Cortril ointment (Intrapharm Laboratories Ltd)	ointment.cutaneous
187	amp	3692511000001106	1304000V0CFACCN	Nystaform HC ointment (Typharm Ltd)	ointment.cutaneous
188	amp	278911000001102	1304000V0CGACCS	Daktacort ointment (Janssen-Cilag Ltd)	ointment.cutaneous
189	amp	911811000001106	1304000W0BBACBA	Locoid 0.1% ointment (LEO Pharma)	ointment.cutaneous
190	amp	4369911000001100	1304000W0BBAFCB	Locoid C ointment (Astellas Pharma Ltd)	ointment.cutaneous
191	amp	4965111000001106	1304000X0BEABBA	Lanacort 1% ointment (Reckitt Benckiser Healthcare (UK) Ltd)	ointment.cutaneous
192	amp	2905011000001101	1304000X0BHACCG	Fucidin H ointment (LEO Pharma)	ointment.cutaneous
193	amp	35486611000001102	1104010D0AAABAB	Betamethasone 0.1% eye ointment (RPH Pharmaceuticals AB)	ointment.ophthalmic
194	amp	3807311000001107	1104010D0BBABAB	Betnesol 0.1% eye ointment (Focus Pharmaceuticals Ltd)	ointment.ophthalmic
195	amp	4066611000001102	1104010D0BBACAD	Betnesol-N eye ointment (Focus Pharmaceuticals Ltd)	ointment.ophthalmic
196	amp	4378611000001106	1104010I0BCABAF	Maxitrol eye ointment (Novartis Pharmaceuticals UK Ltd)	ointment.ophthalmic
197	amp	3851911000001106	1104010M0AAACAC	Hydrocortisone 0.5% eye ointment (A A H Pharmaceuticals Ltd)	ointment.ophthalmic
198	amp	3852311000001101	1104010M0AAACAC	Hydrocortisone 0.5% eye ointment (Martindale Pharmaceuticals Ltd)	ointment.ophthalmic
199	amp	3852511000001107	1104010M0AAACAC	Hydrocortisone 0.5% eye ointment (Alliance Healthcare (Distribution) Ltd)	ointment.ophthalmic
200	amp	32477311000001101	1104010M0AAACAC	Hydrocortisone 0.5% eye ointment (Special Order)	ointment.ophthalmic
201	amp	4005011000001101	1104010M0AAADAD	Hydrocortisone 1% eye ointment (A A H Pharmaceuticals Ltd)	ointment.ophthalmic
202	amp	4005211000001106	1104010M0AAADAD	Hydrocortisone 1% eye ointment (Martindale Pharmaceuticals Ltd)	ointment.ophthalmic
203	amp	4249111000001103	1104010M0AAADAD	Hydrocortisone 1% eye ointment (Alliance Healthcare (Distribution) Ltd)	ointment.ophthalmic
204	amp	20886111000001107	1104010M0AAADAD	Hydrocortisone 1% eye ointment (Special Order)	ointment.ophthalmic
205	amp	3851011000001107	1104010M0AAAEAE	Hydrocortisone 2.5% eye ointment (Martindale Pharmaceuticals Ltd)	ointment.ophthalmic
206	amp	3851211000001102	1104010M0AAAEAE	Hydrocortisone 2.5% eye ointment (A A H Pharmaceuticals Ltd)	ointment.ophthalmic
207	amp	11530011000001107	1104010M0AAAEAE	Hydrocortisone 2.5% eye ointment (Alliance Healthcare (Distribution) Ltd)	ointment.ophthalmic
208	amp	794811000001104	120101050BBAAAA	Sofradex ear/eye ointment (Florizel Ltd)	ointment.ophthalmic
209	amp	3991711000001109	1201010G0BBABAB	Neo-Cortef ear/eye ointment (PLIVA Pharma Ltd)	ointment.ophthalmic
210	amp	4669611000001104	0107020B0BBAAAA	Betnovate rectal ointment (GlaxoSmithKline UK Ltd)	ointment.rectal
211	amp	429711000001108	0107020J0BCABAC	Anusol HC ointment (Church & Dwight UK Ltd)	ointment.rectal
212	amp	289611000001105	0107020J0BCACAC	Anusol Plus HC ointment (Church & Dwight UK Ltd)	ointment.rectal
213	amp	24642411000001103	0107020J0BCAFAC	Anusol Soothing Relief ointment (Church & Dwight UK Ltd)	ointment.rectal
214	amp	539211000001105	0107020J0BEAAAE	Proctosedyl ointment (Sanofi)	ointment.rectal
215	amp	754811000001109	0107020J0BFACAE	Uniroid HC ointment (Chemidex Pharma Ltd)	ointment.rectal
216	amp	226611000001108	0107020P0BCAAAC	Scheriproct ointment (LEO Pharma)	ointment.rectal
217	amp	28044511000001102	1203010M0AAABAB	Hydrocortisone 4mg pastilles (Special Order)	pastille.oromucosal
