month,name,practice,items
2021-03-01,GRAYS HUB,Y05129,1
2020-08-01,HERTS URGENT CARE E/N OOH,Y01061,1
2021-04-01,LONDON AMBULANCE SERV NHS111 IUC CAS OOH,Y06156,1
2021-05-01,DEVON DOCTORS - SOMERSET OOH,Y02389,1
2020-10-01,PML NEIGHBOURHOOD HUB (BANBURY),Y05126,1
2020-11-01,EASTERN CHESHIRE OOH SERVICE,Y00434,1
2020-09-01,SPECIALIST MEDICINE DIR.,Y03768,1
2020-10-01,COMPTON HOSPICE INPATIENT UNIT,Y03457,1
2021-02-01,INTEGRATED CARE CENTRE,Y06079,1
2021-04-01,STEVENAGE NORTH PCN HUB,Y06780,3
2021-03-01,IC24 LTD (NORFOLK & WISBECH OOH),Y00502,1
2020-11-01,DHU HEALTH CARE CIC,Y01897,1
2021-05-01,DERMATOLOGY CLINIC,Y02012,1
2021-03-01,THOMAS LINACRE MEDICAL,Y05614,1
2021-04-01,PRIMARY CARE EXTENDED HOURS,Y05168,1
2020-07-01,THOMAS LINACRE MEDICAL,Y05614,1
2020-07-01,HUC HERTS VALLEY,Y00415,1
2020-12-01,NDUC NORTHUMBERLAND OOH,Y00661,1
2021-04-01,PRIMARY CARE ACCESS HUB (SOUTH STOKE),Y05540,1
2021-05-01,DHU HEALTH CARE CIC,Y01897,2
2021-05-01,EAST BERKS PRIMARY CARE OOH(WAM),Y00751,1
2020-10-01,WEST HERTS RESPIRATORY SERVICE,Y04795,1
2021-02-01,NDUC NORTHUMBERLAND OOH,Y00661,1
2020-12-01,HUC HERTS VALLEY,Y00415,1
2020-10-01,NWS INTEGRATED CARE SERVICES (NICS),Y06137,1
2021-03-01,URGENT CARE,Y02758,1
2021-01-01,THOMAS LINACRE MEDICAL,Y05614,1
2021-01-01,UC24 - LIVERPOOL EXTENDED ACCESS SERVICE,Y06197,1
2021-03-01,LAS S.E. LONDON IUC CAS,Y06291,1
2020-11-01,PERRY TREE CENTRE,Y02403,1
2021-02-01,ENHANCED GP SERVICE,Y04900,1
2021-03-01,WEST HERTS RESPIRATORY SERVICE,Y04795,1
2020-09-01,WEST HERTS RESPIRATORY SERVICE,Y04795,1
2021-04-01,THOMAS LINACRE MEDICAL,Y05614,1
2021-04-01,GTD HEALTHCARE CHORLEY OOH,Y05609,1
2020-07-01,SLOAN HUB,Y05154,1
2020-10-01,"ASHTON, LEIGH & WIGAN OOH",Y00988,1
2021-04-01,WLCCG EXTENDED HOURS HUBS,Y05401,1
2021-05-01,LEIGH NHS WIC,Y00675,1
2020-12-01,BRAMHOPE DERMATOLOGY COMMUNITY CLINIC,Y05027,1
2021-03-01,BRADFORD EXTENDED ACCESS,Y05776,1
2021-05-01,DODDINGTON LUCS,Y06407,1
2020-07-01,HOLYWELL LANGLEY HOUSE CLCH,Y06553,2
2020-12-01,IC24-SKG CCG-OOH,Y05924,1
2021-01-01,STEVENAGE NORTH PCN HUB,Y06780,1
2021-02-01,PGPA IMPROVED ACCESS CENTRAL,Y05620,1
2021-04-01,DONCASTER URGENT CARE & OUT OF HOURS,Y05141,1
2021-05-01,STEVENAGE NORTH PCN HUB,Y06780,1
2020-09-01,PORTSMOUTH PRIMARY CARE ALLIANCE LTD,Y05178,1
2020-12-01,NORTHAMPTON EXTENDED ACCESS,Y06268,1
2021-04-01,HUC HERTS VALLEY,Y00415,1
2021-05-01,DR LOCAL CARE DIRECT OOH,Y01952,4
2021-02-01,HUC IUC C&P,Y02991,1
2021-05-01,OLDHAM 7 DAY ACCESS HUB 1 OOH,Y05274,1
2020-09-01,THOMAS LINACRE MEDICAL,Y05614,1
2020-12-01,WESTERN CHESHIRE GP SERVICE OOH,Y00327,1
2021-04-01,NEECH WARD,Y05882,1
2020-12-01,TRINITY HOSPICE,Y05020,1
2021-04-01,DR LOCAL CARE DIRECT OOH,Y01952,1
2020-11-01,CORBY URGENT CARE CENTRE,Y03571,1
2020-10-01,GP SERVICES - HORSHAM AND MID SUSSEX HUB,Y05925,1
2020-08-01,SOUTH DOC VIRTUAL SERVICES,Y06528,1
2021-01-01,DODDINGTON LUCS,Y06407,1
2021-05-01,NDUC NORTHUMBERLAND OOH,Y00661,1
2021-05-01,URGENT CARE SERVICE OOH,Y00658,1
2021-04-01,CLINICAL ASSESSMENT SERVICE,Y06585,1
2020-09-01,GREATER HUDDERSFIELD INTERMEDIATE CARE,Y03009,1
2021-03-01,CORNWALL 111 OOH,Y00626,1
2021-04-01,MK URGENT CARE SERVICES OOH,Y02808,1
2021-05-01,CARE UK OOH,Y02989,1
2021-04-01,IC24 LTD(THURROCK)OOH,Y05339,1
2021-04-01,BRISDOC HEALTHCARE SERVICES OOH,Y03662,1
2021-03-01,GP CARE WAKEFIELD OOH,Y05819,1
2021-04-01,"EASTBOURNE, HAILSHAM & SEAFORD OOH",Y03787,1
2020-11-01,THOMAS LINACRE MEDICAL,Y05614,1
2020-10-01,WOLVERHAMPTON UCC WIC & OOH,Y05333,1
2021-03-01,IC24 LTD(THURROCK)OOH,Y05339,1
2020-12-01,LCW WLCCG OOH,Y04923,1
2021-05-01,ISLINGTON PCCS,Y02785,1
2020-08-01,MIDWAY LANGLEY HOUSE CLCH,Y06554,2
2020-11-01,NWS INTEGRATED CARE SERVICES (NICS),Y06137,1
2021-04-01,EXTENDED HOURS,Y06743,1
2021-01-01,HERTS URGENT CARE E/N OOH,Y01061,1
2020-12-01,EALING GP ACCESS CENTRES,Y05696,1
2020-08-01,COMMUNITY NURSING (HARROGATE),Y04421,1
2020-10-01,DEVON DOCTORS ON CALL OOH,Y00192,1
2020-12-01,NHS 111 OOH,Y05608,1
2021-05-01,LOUGHBOROUGH URGENT CARE CENTRE,Y03715,1
2021-03-01,DR HANTSDOC N OOH,Y00587,1
2021-05-01,DEVON DOCTORS ON CALL OOH,Y00192,1
2021-04-01,DHU HEALTH CARE CIC,Y01897,1
2020-07-01,PORTSMOUTH PRIMARY CARE ALLIANCE LTD,Y05178,1
