month,name,practice,items
2020-12-01,BRAMLEY VILLAGE HEALTH & WELLBEING CTR,B86104,14
2021-05-01,LINTHORPE SURGERY,A81026,20
2021-01-01,SUTTON COLDFIELD GROUP PRACTICE,M85046,16
2020-08-01,THE CALVERTON PRACTICE,C84047,14
2020-08-01,VALENS MEDICAL PARTNERSHIP,A84036,20
2021-01-01,ST FILLAN'S MEDICAL CTRE,P81018,20
2021-01-01,PORTSDOWN GROUP PRACTICE,J82155,19
2021-03-01,LYTHAM ROAD SURGERY,P81015,13
2020-11-01,"THE DOCTORS HOUSE, MARLOW MEDICAL GROUP",K82023,15
2020-10-01,FELLVIEW HEALTHCARE,A82044,16
2020-10-01,NORTON MEDICAL CENTRE,A81036,13
2020-10-01,ST FILLAN'S MEDICAL CTRE,P81018,23
2020-12-01,RIVERSIDE MEDICAL CENTRE,P81185,15
2020-07-01,RIVERSIDE HEALTH CENTRE,C84094,14
2021-04-01,CASTLEHEAD MEDICAL CENTRE,A82028,13
2020-09-01,KNUTSFORD MEDICAL PARTNERSHIP,N81049,26
2020-12-01,WESTMORELAND GP CENTRE,N82037,15
2021-05-01,ST. MARY'S HEALTH CENTRE,P81213,16
2021-05-01,BELLBROOKE SURGERY,B86081,14
2021-01-01,ST. MARY'S HEALTH CENTRE,P81213,16
2020-08-01,THE RYAN MEDICAL CENTRE,P81082,14
2021-03-01,RIVERMEAD GATE MED.CTR.,F81071,14
2020-10-01,GIBSON LANE PRACTICE,B86036,13
2020-12-01,CIVIC MEDICAL CENTRE,N85006,13
2021-04-01,YORK MEDICAL GROUP,B82083,20
2021-04-01,HOLDERNESS HEALTH,B81025,26
2021-04-01,LOCKWOOD GP SURGERY,P81149,15
2020-11-01,BROADSHIRES HEALTH CENTRE,K84075,13
2021-05-01,STICKNEY SURGERY,C83055,13
2021-03-01,WEST POINT MEDICAL CENTRE,P84027,19
2020-09-01,BEECH TREE SURGERY,B82041,15
2020-09-01,"PRACTICE 3, MEDICAL CENTRE, BRIDLINGTON",B81069,13
2020-09-01,IFIELD MEDICAL PRACTICE,H82050,16
2020-09-01,WEST POINT MEDICAL CENTRE,P84027,16
2021-05-01,VALENS MEDICAL PARTNERSHIP,A84036,40
2021-02-01,TARLETON GROUP PRACTICE,P81710,13
2021-01-01,NELSON MEDICAL GROUP,A87019,17
2021-01-01,LINTHORPE SURGERY,A81026,17
2020-08-01,DANEBRIDGE MEDICAL CENTRE,N81087,33
2021-01-01,BEDLINGTONSHIRE MED.GROUP,A84005,14
2020-11-01,SHAFTESBURY MEDICAL CTR.,B86016,17
2020-10-01,HUGHENDEN VALLEY SURGERY,K82049,18
2021-04-01,LAKESIDE HEALTHCARE ST NEOTS,D81057,18
2021-05-01,HESWALL & PENSBY GROUP PRACTICE,N85007,17
2020-07-01,SHEVINGTON SURGERY,P92017,14
2020-09-01,PARCLIFFE MEDICAL CENTRE,P81150,21
2020-12-01,BEECH TREE SURGERY,B82041,17
2020-12-01,THE WEAVERS PRACTICE,P81755,20
2020-12-01,MIDLANDS MEDICAL PARTNERSHIP,M85063,14
2021-02-01,CASTLEGATE AND DERWENT SURGERY,A82021,16
2021-02-01,RAILWAY MEDICAL GROUP,A84009,18
2021-02-01,PORTSDOWN GROUP PRACTICE,J82155,19
2021-01-01,MONKSEATON MEDICAL CENTRE,A87020,15
2021-01-01,LAKESIDE HEALTHCARE ST NEOTS,D81057,24
2020-08-01,VILLA MED CTR,N85018,25
2021-02-01,WEST POINT MEDICAL CENTRE,P84027,17
2021-03-01,THE LIGHTHOUSE GROUP PRACTICE,J82060,13
2020-10-01,PORTSDOWN GROUP PRACTICE,J82155,21
2020-12-01,DERWENT PRACTICE,B82025,16
2021-04-01,WEST LODGE SURGERY,B86050,16
2021-04-01,BLACKHALL AND PETERLEE PRACTICE,A83007,15
2021-04-01,CONSETT MEDICAL CENTRE,A83018,17
2020-10-01,THE HEALTHCARE CENTRE,P81067,14
2020-08-01,FISHER MEDICAL CENTRE,B82028,14
2020-09-01,VILLA MED CTR,N85018,32
2020-10-01,STUART ROAD,B87015,14
2020-09-01,THE WELBY PRACTICE,C82076,14
2020-09-01,CROMWELL MEDICAL CENTRE,E82079,17
2020-12-01,JORVIK GILLYGATE PRACTICE,B82098,17
2021-02-01,VILLAGE MEDICAL GROUP,A84030,18
2021-01-01,CIVIC MEDICAL CENTRE,N85006,16
2021-01-01,PORTUGAL PLACE HEALTH CTR,A87003,18
2020-08-01,LOCKWOOD GP SURGERY,P81149,13
2020-11-01,KNUTSFORD MEDICAL PARTNERSHIP,N81049,16
2020-11-01,LEIGH VIEW MEDICAL PRACTICE,B86064,13
2020-07-01,BEECH TREE SURGERY,B82041,17
2021-04-01,ALNWICK MEDICAL GROUP,A84006,24
2020-09-01,THORPE HESLEY SURGERY,C87604,18
2021-04-01,PEARTREE LANE SURGERY,E82040,14
2020-09-01,DERWENT PRACTICE,B82025,13
2020-09-01,ASHTON MEDICAL GROUP,P89008,14
2020-12-01,GRANGE SURGERY,N84024,17
2020-12-01,PEEL HOUSE MEDICAL PRACTICE,P81036,13
2021-02-01,FISHER MEDICAL CENTRE,B82028,17
2021-02-01,BROADSHIRES HEALTH CENTRE,K84075,15
2021-01-01,THE LIGHTHOUSE GROUP PRACTICE,J82060,13
2021-01-01,CHURCHMERE MEDICAL GROUP,M82025,15
2020-08-01,RIVERMEAD GATE MED.CTR.,F81071,13
2020-08-01,THE CENTRAL SURGERY BARTON,B81005,14
2021-03-01,WESTONGROVE PARTNERSHIP,K82073,16
2021-03-01,SOLIHULL HEALTHCARE PARTNERSHIP,M89017,14
2021-03-01,BEECH TREE SURGERY,B82041,16
2020-10-01,THE THORNTON PRACTICE,P81079,16
2020-10-01,THE ARROW SURGERY,M84060,16
2021-04-01,BIRTLEY MEDICAL GROUP,A85008,13
2020-07-01,VILLAGE MEDICAL GROUP,A84030,19
2020-07-01,WHITWORTH MEDICAL CENTRE,P81088,15
2020-12-01,DR T P FOX & PARTNERS,B86075,13
2020-09-01,RIVERSIDE MEDICAL CENTRE,P81185,17
2020-12-01,HIGHFIELD SURGERY,B86004,13
2021-05-01,STANMORE MEDICAL GROUP,E82005,15
2021-02-01,DR G LEES & PARTNERS,B86003,13
2021-01-01,THE TICKHILL & COLLIERY MEDICAL PRACTICE,C86013,20
2021-03-01,COLLINGWOOD HEALTH GROUP,A87004,30
2020-10-01,HAXBY GROUP PRACTICE,B82026,19
2020-07-01,OAKWOOD MEDICAL CENTRE,N81067,15
2020-07-01,PRIORY MEDICAL CENTRE,M84028,15
2020-09-01,PORTUGAL PLACE HEALTH CTR,A87003,15
2020-09-01,SHAFTESBURY MEDICAL CTR.,B86016,16
2020-09-01,FOREST HALL MEDICAL GROUP,A87007,13
2020-12-01,LAKESIDE HEALTHCARE ST NEOTS,D81057,24
2020-12-01,ALNWICK MEDICAL GROUP,A84006,27
2021-02-01,YORK MEDICAL GROUP,B82083,19
2020-08-01,SEATON PARK MEDICAL GROUP,A84028,14
2020-08-01,HOLLAND HOUSE SURGERY,P81077,21
2020-08-01,NEW MEDICAL CENTRE,B86033,13
2021-03-01,PORTSDOWN GROUP PRACTICE,J82155,25
2020-10-01,CUMBERLAND HOUSE SURGERY,N84005,13
2020-12-01,FILEY SURGERY,B82037,16
2020-07-01,GRANGE SURGERY,N84024,13
2020-07-01,CONSETT MEDICAL CENTRE,A83018,14
2021-04-01,CHEVIN MEDICAL PRACTICE,B86032,15
2021-04-01,DR L FREEMAN & PARTNERS,B86006,15
2020-11-01,FRENCH WEIR HEALTH CENTRE,L85001,14
2020-07-01,CARN TO COAST HEALTH CENTRES,L82041,14
2020-07-01,ST ANDREW'S MEDICAL PRACTICE,A83001,13
2020-09-01,THE SPA SURGERY,B82027,16
2020-09-01,DARWIN MEDICAL CENTRE,M83617,15
2021-02-01,LIBRARY HOUSE SURGERY,P81044,21
2020-08-01,CONSETT MEDICAL CENTRE,A83018,16
2021-02-01,FOREST HALL MEDICAL GROUP,A87007,14
2021-03-01,HEALTH CARE FIRST PARTNERSHIP,B87030,14
2020-11-01,UNION BRAE & NORHAM PRAC,A84044,16
2020-11-01,WARLINGHAM GREEN MED PRAC,H81119,13
2020-11-01,LIBRARY HOUSE SURGERY,P81044,24
2020-12-01,ORCHARD SURGERY,C82040,13
2020-12-01,FOREST HALL MEDICAL GROUP,A87007,13
2021-04-01,WOOLTON HOUSE MEDICAL CTR,N82066,14
2020-07-01,LIBRARY HOUSE SURGERY,P81044,21
2020-12-01,RAILWAY MEDICAL GROUP,A84009,22
2020-09-01,COPPULL MEDICAL PRACTICE,P81033,13
2021-05-01,HOLDERNESS HEALTH,B81025,19
2020-09-01,ST. MARY'S HEALTH CENTRE,P81213,16
2020-09-01,RAINBOW MEDICAL CENTRE,N83001,24
2021-05-01,DANEBRIDGE MEDICAL CENTRE,N81087,37
2021-02-01,CARLISLE HEALTHCARE,A82016,23
2021-02-01,SCARBOROUGH MEDICAL GROUP,B82054,17
2021-01-01,THE CALVERTON PRACTICE,C84047,15
2020-11-01,BURN BRAE MEDICAL GROUP,A84024,14
2020-10-01,LUPSET HEALTH CENTRE,B87008,16
2020-10-01,EDENFIELD ROAD SURGERY,P86003,13
2020-07-01,SOUTH BANK SURGERY,B86035,16
2021-04-01,ST MARKS MEDICAL CENTRE (TCG MEDICAL),N84021,18
2020-09-01,VALENS MEDICAL PARTNERSHIP,A84036,18
2020-12-01,TARLETON GROUP PRACTICE,P81710,13
2020-12-01,POSTERNGATE SURGERY,B82074,13
2020-12-01,MULBERRY STREET MEDICAL PRACTICE,B86018,13
2021-05-01,HEREFORD MEDICAL GROUP,M81026,16
2020-08-01,FOREST HALL MEDICAL GROUP,A87007,19
2020-08-01,DR L FREEMAN & PARTNERS,B86006,18
2021-01-01,MOWBRAY HOUSE SURGERY,B82050,22
2021-03-01,LAKESIDE HEALTHCARE ST NEOTS,D81057,28
2021-03-01,YORK MEDICAL GROUP,B82083,13
2020-07-01,KING'S MEDICAL PRACTICE,B87039,21
2020-07-01,CROMWELL MEDICAL CENTRE,E82079,14
2021-04-01,ST. MARY'S HEALTH CENTRE,P81213,15
2020-07-01,MARINE MEDICAL GROUP,A84014,16
2020-09-01,BLACKHALL AND PETERLEE PRACTICE,A83007,14
2020-12-01,BEACON MEDICAL PRACTICE,C83019,15
2021-05-01,EAST NORWICH MEDICAL PARTNERSHIP,D82071,13
2021-02-01,WEST LODGE SURGERY,B86050,20
2021-02-01,ST. PETERS HILL SURGERY,C83040,18
2021-03-01,ELMWOOD FAMILY DOCTORS,B85006,15
2021-03-01,PEEL HOUSE MEDICAL PRACTICE,P81036,14
2020-11-01,HEREFORD MEDICAL GROUP,M81026,18
2020-10-01,COLLINGWOOD HEALTH GROUP,A87004,25
2020-10-01,CARLISLE HEALTHCARE,A82016,18
2021-04-01,ROTHSCHILD HOUSE GROUP,E82001,13
2020-07-01,WHITLEY BAY HEALTH CENTRE,A87005,13
2020-09-01,CIVIC MEDICAL CENTRE,N85006,13
2020-09-01,WELLFIELD MEDICAL CENTRE,P84074,14
2020-12-01,QUAKERS LANE SURGERY,B82034,13
2020-12-01,ST. MARY'S HEALTH CENTRE,P81213,14
2020-12-01,MIDDLEWOOD PARTNERSHIP,N81022,14
2021-05-01,MEDICUS HEALTH PARTNERS,F85002,13
2021-01-01,DR L FREEMAN & PARTNERS,B86006,25
2021-03-01,HAXBY GROUP PRACTICE,B82026,18
2021-03-01,THE TICKHILL & COLLIERY MEDICAL PRACTICE,C86013,13
2021-03-01,WESTMORELAND GP CENTRE,N82037,14
2020-11-01,FISHER MEDICAL CENTRE,B82028,18
2020-10-01,YORK MEDICAL GROUP,B82083,21
2020-09-01,DANEBRIDGE MEDICAL CENTRE,N81087,29
2021-04-01,VESPER ROAD,B86041,15
2020-12-01,THE SHREWSBURY CENTRE,F84006,13
2021-05-01,WHITBY GROUP PRACTICE,B82017,16
2021-01-01,KING'S MEDICAL PRACTICE,B87039,25
2021-01-01,MARISCO MEDICAL PRACTICE,C83064,16
2020-08-01,LIBRARY HOUSE SURGERY,P81044,18
2020-08-01,ST. PETERS HILL SURGERY,C83040,18
2020-08-01,WOKINGHAM MEDICAL CENTRE,K81022,13
2020-08-01,THE LEEDS ROAD PRACTICE,B82012,14
2021-03-01,QUEENS PARK MEDICAL CENTRE,A81002,14
2021-03-01,HIGHFIELD SURGERY,B86004,13
2021-03-01,KNUTSFORD MEDICAL PARTNERSHIP,N81049,13
2020-11-01,QUEENS ROAD SURGERY,A83049,20
2020-10-01,MARINE MEDICAL GROUP,A84014,19
2020-07-01,MIDDLEWOOD PARTNERSHIP,N81022,14
2020-07-01,BLUNDELLSANDS SURGERY,N84020,14
2020-09-01,CLAYS PRACTICE,L82051,14
2020-12-01,GREAT SUTTON MEDICAL CENTRE,N81050,19
2021-01-01,WINDSOR MEDICAL CENTRE,B85620,13
2020-08-01,THE WELBY PRACTICE,C82076,14
2021-02-01,HOLLAND HOUSE SURGERY,P81077,15
2021-01-01,THE CRESCENT SURGERY,P81092,16
2021-03-01,LIBRARY HOUSE SURGERY,P81044,18
2020-11-01,HOLLAND HOUSE SURGERY,P81077,23
2020-07-01,UNION BRAE & NORHAM PRAC,A84044,13
2021-05-01,RAILWAY MEDICAL GROUP,A84009,21
2020-07-01,PORTSDOWN GROUP PRACTICE,J82155,22
2020-09-01,ST. PETERS HILL SURGERY,C83040,21
2020-09-01,RIVERSIDE HEALTH CENTRE,C84094,13
2020-09-01,NORTON MEDICAL CENTRE,A81036,17
2020-12-01,KNUTSFORD MEDICAL PARTNERSHIP,N81049,21
2021-05-01,WEST LODGE SURGERY,B86050,14
2021-05-01,NEW MEDICAL CENTRE,B86033,14
2021-05-01,ST FILLAN'S MEDICAL CTRE,P81018,19
2021-02-01,CONSETT MEDICAL CENTRE,A83018,16
2021-02-01,BLACKHALL AND PETERLEE PRACTICE,A83007,18
2020-08-01,WEST LODGE SURGERY,B86050,13
2021-03-01,ST LUKES PRIMARY CARE CENTRE,K83041,15
2021-03-01,BROOKLYN MEDICAL PRACTICE,C81052,13
2020-10-01,BLOOMFIELD MEDICAL CENTRE,P81115,15
2020-10-01,SOUTH BANK SURGERY,B86035,15
2020-07-01,THE MORTIMER MEDICAL PRAC,M81043,19
2021-04-01,WELLFIELD MEDICAL CENTRE,P84074,13
2020-10-01,PORTUGAL PLACE HEALTH CTR,A87003,13
2020-07-01,ST. MARY'S HEALTH CENTRE,P81213,15
2020-12-01,LAKESIDE HEALTHCARE,K83002,13
2021-02-01,BEDLINGTONSHIRE MED.GROUP,A84005,15
2021-01-01,HOLDERNESS HEALTH,B81025,28
2021-02-01,DANEBRIDGE MEDICAL CENTRE,N81087,30
2020-11-01,THORNABY & BARWICK MEDICAL GROUP,A81034,15
2020-10-01,VILLAGE MEDICAL GROUP,A84030,20
2020-10-01,MULBERRY STREET MEDICAL PRACTICE,B86018,14
2020-10-01,REVEL SURGERY,M84031,26
2021-04-01,BLOOMFIELD MEDICAL CENTRE,P81115,13
2020-09-01,GARFORTH MEDICAL CENTRE,B86048,15
2020-09-01,THE ATHERSTONE SURGERY,M84019,14
2020-12-01,STANMORE MEDICAL GROUP,E82005,13
2021-05-01,VILLA MED CTR,N85018,18
2021-05-01,BURN BRAE MEDICAL GROUP,A84024,14
2021-05-01,MARISCO MEDICAL PRACTICE,C83064,16
2021-02-01,STANMORE MEDICAL GROUP,E82005,15
2021-02-01,THE STREET LANE PRACTICE,B86066,17
2021-01-01,ALNWICK MEDICAL GROUP,A84006,22
2021-01-01,SHAFTESBURY MEDICAL CTR.,B86016,15
2021-01-01,OKEHAMPTON MEDICAL CENTRE,L83087,13
2021-03-01,NUNWELL SURGERY,M81048,13
2021-03-01,VILLAGE MEDICAL GROUP,A84030,17
2020-10-01,HOLDERNESS HEALTH,B81025,17
2020-07-01,BELLBROOKE SURGERY,B86081,17
2021-04-01,ASHFIELDS PRIMARY CARE CENTRE,N81032,14
2020-07-01,SHAFTESBURY MEDICAL CTR.,B86016,13
2021-01-01,EAST NORWICH MEDICAL PARTNERSHIP,D82071,13
2020-09-01,LAKESIDE HEALTHCARE,K83002,13
2020-09-01,BENCHILL MEDICAL PRACTICE,P84029,13
2020-09-01,KING'S MEDICAL PRACTICE,B87039,30
2020-09-01,BRIDGE STREET SURGERY,D82015,14
2020-09-01,LAKESIDE HEALTHCARE ST NEOTS,D81057,25
2020-09-01,"THE DOCTORS HOUSE, MARLOW MEDICAL GROUP",K82023,16
2020-09-01,SLEAFORD MEDICAL GROUP,C83023,13
2020-12-01,ST. PETERS HILL SURGERY,C83040,22
2021-02-01,VALENS MEDICAL PARTNERSHIP,A84036,30
2021-02-01,MAYBUSH MEDICAL CENTRE,B87012,15
2020-08-01,BROADSHIRES HEALTH CENTRE,K84075,16
2021-01-01,THE CORNERSTONE PRACTICE,P81734,13
2021-03-01,AVENUE SURGERY,J83018,16
2020-11-01,PEARTREE LANE SURGERY,E82040,22
2020-11-01,SUTTON COLDFIELD GROUP PRACTICE,M85046,14
2020-07-01,ELMWOOD FAMILY DOCTORS,B85006,13
2021-04-01,FRENCH WEIR HEALTH CENTRE,L85001,18
2020-07-01,THE DOWNEND HEALTH GROUP,L81026,15
2020-09-01,GREAT SUTTON MEDICAL CENTRE,N81050,14
2020-08-01,MOWBRAY HOUSE SURGERY,B82050,22
2021-03-01,NEW MEDICAL CENTRE,B86033,13
2021-03-01,CENTRAL SURGERY,M84023,14
2020-11-01,THE LEEDS ROAD PRACTICE,B82012,15
2020-10-01,CHEVIN MEDICAL PRACTICE,B86032,15
2020-10-01,LINGWELL CROFT SURGERY,B86042,13
2020-07-01,POSTERNGATE SURGERY,B82074,13
2021-04-01,NORTON MEDICAL CENTRE,A81036,24
2021-04-01,SEAFORD MEDICAL PRACTICE,G81029,15
2020-11-01,CENTRAL SURGERY,M84023,13
2021-05-01,DR L FREEMAN & PARTNERS,B86006,28
2020-09-01,THE OVER-WYRE MED.CTR.,P81087,15
2020-09-01,PORTSDOWN GROUP PRACTICE,J82155,21
2020-09-01,LUPSET HEALTH CENTRE,B87008,24
2020-09-01,LANCASTER MEDICAL PRACTICE,P81002,22
2020-12-01,GLENROYD MEDICAL CENTRE,P81072,13
2020-12-01,PARCLIFFE MEDICAL CENTRE,P81150,27
2021-05-01,CENTRAL HEALTHCARE,B82038,14
2021-02-01,COLLINGWOOD HEALTH GROUP,A87004,22
2021-02-01,UNION BRAE & NORHAM PRAC,A84044,13
2021-02-01,CARN TO COAST HEALTH CENTRES,L82041,14
2021-01-01,LONG SUTTON MEDICAL CTR.,C83063,14
2020-10-01,EAST DURHAM MEDICAL GROUP,A83057,15
2021-04-01,PORTSDOWN GROUP PRACTICE,J82155,21
2020-11-01,RIVERSIDE MEDICAL CENTRE,P81185,16
2021-04-01,WEAVERS MEDICAL,K83051,14
2020-09-01,FEARNHEAD CROSS MED.CTR.,N81048,17
2020-12-01,RAINBOW MEDICAL CENTRE,N83001,23
2021-05-01,MOWBRAY HOUSE SURGERY,B82050,25
